species,Phylum,window_label,cell_id,n_obs,tgb,n_corr,p_corr
Acacia mearnsii,Tracheophyta,1990-1994,5872,1,510,0.16034970114196456,0.00196078431372549
Acacia mearnsii,Tracheophyta,1995-1999,5872,1,732,0.1515807055336098,0.001366120218579235
Acacia mearnsii,Tracheophyta,2000-2004,5733,1,84,0.22509081678177853,0.011904761904761904
Acacia mearnsii,Tracheophyta,2000-2004,7097,1,7,0.48089834696298783,0.14285714285714285
Acacia mearnsii,Tracheophyta,2005-2009,7767,1,639,0.15476358819804817,0.001564945226917058
Acacia mearnsii,Tracheophyta,2010-2014,3561,1,880,0.14746962128373625,0.0011363636363636363
Acacia mearnsii,Tracheophyta,2010-2014,4514,1,990,0.1449545411719404,0.00101010101010101
Acacia mearnsii,Tracheophyta,2010-2014,4784,1,97,0.2181040551873126,0.010309278350515464
Acacia mearnsii,Tracheophyta,2010-2014,4921,2,578,0.314401021968547,0.0034602076124567475
Acacia mearnsii,Tracheophyta,2010-2014,5191,1,304,0.17481564625365184,0.003289473684210526
Acacia mearnsii,Tracheophyta,2010-2014,5327,3,759,0.4522623224219931,0.003952569169960474
Acacia mearnsii,Tracheophyta,2010-2014,5462,4,504,0.6426158651169839,0.007936507936507936
Acacia mearnsii,Tracheophyta,2010-2014,5463,1,735,0.15148691713728024,0.0013605442176870747
Acacia mearnsii,Tracheophyta,2010-2014,5598,3,920,0.43953081317078635,0.003260869565217391
Acacia mearnsii,Tracheophyta,2010-2014,5599,8,723,1.214920796010448,0.011065006915629323
Acacia mearnsii,Tracheophyta,2010-2014,5600,1,697,0.15271327735172285,0.0014347202295552368
Acacia mearnsii,Tracheophyta,2010-2014,5735,1,593,0.15657098717496845,0.0016863406408094434
Acacia mearnsii,Tracheophyta,2010-2014,5869,1,840,0.14848710218668504,0.0011904761904761906
Acacia mearnsii,Tracheophyta,2010-2014,5873,1,1712,0.13430026843602855,5.841121495327102e-4
Acacia mearnsii,Tracheophyta,2010-2014,6008,2,985,0.2901218014246787,0.0020304568527918783
Acacia mearnsii,Tracheophyta,2010-2014,6275,1,256,0.18021017998330122,0.00390625
Acacia mearnsii,Tracheophyta,2010-2014,6411,1,761,0.15069440231447528,0.001314060446780552
Acacia mearnsii,Tracheophyta,2010-2014,6830,4,805,0.5977211514244644,0.004968944099378882
Acacia mearnsii,Tracheophyta,2010-2014,7226,2,988,0.2899940034792615,0.0020242914979757085
Acacia mearnsii,Tracheophyta,2010-2014,7235,1,1048,0.1437692021802529,9.541984732824427e-4
Acacia mearnsii,Tracheophyta,2010-2014,7765,1,1573,0.13584417880164024,6.357279084551812e-4
Acacia mearnsii,Tracheophyta,2010-2014,7903,1,1483,0.1369394713773214,6.743088334457181e-4
Acacia mearnsii,Tracheophyta,2010-2014,7912,1,829,0.1487779593966753,0.0012062726176115801
Acacia mearnsii,Tracheophyta,2010-2014,8039,6,6894,0.6788442430844916,8.703220191470844e-4
Acacia mearnsii,Tracheophyta,2010-2014,8041,1,649,0.15439312443721048,0.0015408320493066256
Acacia mearnsii,Tracheophyta,2010-2014,8043,1,634,0.15495167447311847,0.0015772870662460567
Acacia mearnsii,Tracheophyta,2010-2014,8179,2,1208,0.2817874229674036,0.0016556291390728477
Acacia mearnsii,Tracheophyta,2010-2014,9128,1,658,0.1540660289541429,0.001519756838905775
Acacia mearnsii,Tracheophyta,2015-2019,1823,1,767,0.15051650340629058,0.001303780964797914
Acacia mearnsii,Tracheophyta,2015-2019,2381,2,416,0.33150529040569354,0.004807692307692308
Acacia mearnsii,Tracheophyta,2015-2019,4105,1,576,0.15728606625990224,0.001736111111111111
Acacia mearnsii,Tracheophyta,2015-2019,4244,1,716,0.1520895004473141,0.0013966480446927375
Acacia mearnsii,Tracheophyta,2015-2019,4514,2,1057,0.28718567691784436,0.001892147587511826
Acacia mearnsii,Tracheophyta,2015-2019,5327,1,712,0.15221901638880597,0.0014044943820224719
